date range,SPY last of current block,SPY moving avg of next block
2011-05-23:2011-05-27,111.28638458251952,111.23019655289187
2011-05-30:2011-06-03,108.71075439453124,107.45722247708228
2011-06-06:2011-06-10,106.36016082763672,106.69679826305759
2011-06-13:2011-06-17,106.42676544189452,107.46276018696446
2011-06-20:2011-06-24,106.22567749023438,108.21316528320312
2011-06-27:2011-07-01,112.18157958984376,112.25399558774886
2011-07-04:2011-07-08,112.58365631103516,110.34705525059854
2011-07-11:2011-07-15,110.31355285644531,110.40462370841733
2011-07-18:2011-07-22,112.73443603515624,111.33227612895351
2011-07-25:2011-07-29,108.33663177490234,106.18706537062123
2011-08-01:2011-08-05,100.58816528320312,95.6015386273784
2011-08-08:2011-08-12,98.94629669189452,100.16929971018145
2011-08-15:2011-08-19,94.35580444335938,96.14494939004221
2011-08-22:2011-08-26,98.82062530517578,101.7049545780305
2011-08-29:2011-09-02,98.72012329101562,98.81010264735067
2011-09-05:2011-09-09,97.10340118408205,98.66009915259576
2011-09-12:2011-09-16,102.32102966308594,100.28337860107422
2011-09-19:2011-09-23,95.6017837524414,97.94393231791835
2011-09-26:2011-09-30,95.27342224121094,94.08700093915385
2011-10-03:2011-10-07,97.42896270751952,100.9724610851657
2011-10-10:2011-10-14,103.20514678955078,102.0225337859123
2011-10-17:2011-10-21,104.38397216796876,105.25936766593686
2011-10-24:2011-10-28,108.28246307373048,104.78785410235005
2011-10-31:2011-11-04,105.65541076660156,106.23285970380229
2011-11-07:2011-11-11,106.64896392822266,105.34683719758064
2011-11-14:2011-11-18,102.7083740234375,100.0573976578251
2011-11-21:2011-11-25,97.95941162109376,101.87014499787361
2011-11-28:2011-12-02,105.13333892822266,106.21465842954574
2011-12-05:2011-12-09,106.13533782958984,103.90512527958039
2011-12-12:2011-12-16,103.029296875,103.58690151091545
2011-12-19:2011-12-23,107.09656524658205,106.90878123621786
2011-12-26:2011-12-30,106.3424301147461,107.21957077518586
