XLY_Date,XLY_Adj Close,XLP_Date,XLP_Adj Close,XLE_Date,XLE_Adj Close,XL_Date,XL_Adj Close,XLV_Date,XLV_Adj Close,XLI_Date,XLI_Adj Close,XLB_Date,XLB_Adj Close,XLK_Date,XLK_Adj Close,XTL_Date,XTL_Adj Close,XLU_Date,XLU_Adj Close,IEI_Date,IEI_Adj Close,LQD_Date,LQD_Adj Close,SPHY_Date,SPHY_Adj Close,GLD_Date,GLD_Adj Close,BIL_Date,BIL_Adj Close,GSG_Date,GSG_Adj Close,UUP_Date,UUP_Adj Close,VWO_Date,VWO_Adj Close,EEM_Date,EEM_Adj Close,VNQ_Date,VNQ_Adj Close,SPY_Date,SPY_Adj Close
2010-01-04,25.842226028442383,2010-01-04,20.224422454833984,2010-01-04,43.80936813354492,2010-01-04,7.660889625549316,2010-02-01,26.283998489379883,2010-02-01,22.50371742248535,2010-02-01,24.938386917114258,2010-02-01,17.92164421081543,2011-01-27,45.1348762512207,2010-02-01,20.439260482788086,2010-02-01,96.00578308105469,2010-02-01,71.98155212402344,2012-06-19,17.974557876586914,2010-02-01,108.3499984741211,2010-02-01,87.47498321533203,2010-02-01,29.760000228881836,2010-02-01,22.6268253326416,2010-02-01,30.308610916137695,2010-02-01,31.902542114257812,2010-02-01,28.63346290588379,2010-02-01,88.77042388916016
2010-01-05,25.936981201171875,2010-01-05,20.23200225830078,2010-01-05,44.166927337646484,2010-01-05,7.801696300506592,2010-02-02,26.827054977416992,2010-02-02,22.932899475097656,2010-02-02,25.01796531677246,2010-02-02,18.099164962768555,2011-01-28,45.1348762512207,2010-02-02,20.60430908203125,2010-02-02,96.04876708984375,2010-02-02,72.20882415771484,2012-06-20,18.08779525756836,2010-02-02,109.12999725341797,2010-02-02,87.45590209960938,2010-02-02,30.540000915527344,2010-02-02,22.54930305480957,2010-02-02,30.45498275756836,2010-02-02,32.16225051879883,2010-02-02,29.025981903076172,2010-02-02,89.84481811523438
2010-01-06,25.971435546875,2010-01-06,20.216835021972656,2010-01-06,44.69583511352539,2010-01-06,7.817340850830078,2010-02-03,26.46780014038086,2010-02-03,22.795236587524414,2010-02-03,24.731494903564453,2010-02-03,18.14143180847168,2011-01-31,44.458072662353516,2010-02-03,20.459884643554688,2010-02-03,95.84234619140625,2010-02-03,72.13311004638672,2012-06-21,18.01702117919922,2010-02-03,108.69999694824219,2010-02-03,87.49403381347656,2010-02-03,30.43000030517578,2010-02-03,22.675273895263672,2010-02-03,30.370237350463867,2010-02-03,31.9755859375,2010-02-03,28.553632736206055,2010-02-03,89.3971939086914
2010-01-07,26.18678855895996,2010-01-07,20.216835021972656,2010-01-07,44.62879180908203,2010-01-07,7.984223365783691,2010-02-04,25.799421310424805,2010-02-04,22.12312126159668,2010-02-04,23.808441162109375,2010-02-04,17.63422203063965,2011-02-01,45.09971618652344,2010-02-04,19.9234561920166,2010-02-04,96.39275360107422,2010-02-04,72.12616729736328,2012-06-22,18.04532814025879,2010-02-04,104.37000274658203,2010-02-04,87.49403381347656,2010-02-04,29.18000030517578,2010-02-04,22.820629119873047,2010-02-04,28.98346519470215,2010-02-04,30.531002044677734,2010-02-04,27.495847702026367,2010-02-04,86.63783264160156
2010-01-08,26.17817497253418,2010-01-08,20.148590087890625,2010-01-08,44.91931915283203,2010-01-08,7.937286376953125,2010-02-05,25.75765037536621,2010-02-05,22.02594566345215,2010-02-05,24.254056930541992,2010-02-05,17.811742782592773,2011-02-02,45.28430938720703,2010-02-05,19.889070510864258,2010-02-05,96.61640167236328,2010-02-05,71.90581512451172,2012-06-25,18.04532814025879,2010-02-05,104.68000030517578,2010-02-05,87.49403381347656,2010-02-05,28.610000610351562,2010-02-05,22.91753387451172,2010-02-05,28.929533004760742,2010-02-05,30.19015121459961,2010-02-05,28.001455307006836,2010-02-05,86.8169174194336
2010-01-11,26.12648582458496,2010-01-11,20.201675415039062,2010-01-11,44.859718322753906,2010-01-11,7.942501544952393,2010-02-08,25.6323299407959,2010-02-08,21.783004760742188,2010-02-08,23.864145278930664,2010-02-08,17.73565673828125,2011-02-03,45.28430938720703,2010-02-08,19.66212272644043,2010-02-08,96.51319122314453,2010-02-08,71.97467803955078,2012-06-26,18.101947784423828,2010-02-08,104.04000091552734,2010-02-08,87.49403381347656,2010-02-08,28.81999969482422,2010-02-08,22.907840728759766,2010-02-08,28.390233993530273,2010-02-08,29.889873504638672,2010-02-08,27.389394760131836,2010-02-08,86.1901626586914
2010-01-12,25.790542602539062,2010-01-12,20.315418243408203,2010-01-12,44.21162414550781,2010-01-12,7.8277716636657715,2010-02-09,25.832839965820312,2010-02-09,22.2041015625,2010-02-09,24.44503402709961,2010-02-09,17.88782501220703,2011-02-04,47.024654388427734,2010-02-09,19.861562728881836,2010-02-09,96.3067626953125,2010-02-09,71.80940246582031,2012-06-27,18.151479721069336,2010-02-09,105.41000366210938,2010-02-09,87.49403381347656,2010-02-09,29.389999389648438,2010-02-09,22.762487411499023,2010-02-09,29.26082420349121,2010-02-09,30.863737106323242,2010-02-09,27.30291175842285,2010-02-09,87.27273559570312
2010-01-13,26.083419799804688,2010-01-13,20.459501266479492,2010-01-13,44.37550735473633,2010-01-13,7.916424751281738,2010-02-10,25.674110412597656,2010-02-10,22.171707153320312,2010-02-10,24.27793312072754,2010-02-10,17.837108612060547,2011-02-07,47.50809097290039,2010-02-10,19.77215576171875,2010-02-10,96.0401611328125,2010-02-10,71.25161743164062,2012-06-28,18.130245208740234,2010-02-10,105.12000274658203,2010-02-10,87.49403381347656,2010-02-10,29.459999084472656,2010-02-10,22.830318450927734,2010-02-10,29.16837501525879,2010-02-10,30.7825870513916,2010-02-10,27.35613250732422,2010-02-10,87.10179138183594
2010-01-14,26.083419799804688,2010-01-14,20.39883041381836,2010-01-14,44.50215148925781,2010-01-14,7.952930927276611,2010-02-11,25.84955596923828,2010-02-11,22.50371742248535,2010-02-11,24.691720962524414,2010-02-11,18.02308464050293,2011-02-08,47.420188903808594,2010-02-11,19.889070510864258,2010-02-11,96.06598663330078,2010-02-11,71.41690063476562,2012-06-29,18.20808219909668,2010-02-11,107.12999725341797,2010-02-11,87.49403381347656,2010-02-11,29.860000610351562,2010-02-11,22.820629119873047,2010-02-11,29.884855270385742,2010-02-11,31.594144821166992,2010-02-11,27.61559295654297,2010-02-11,88.01345825195312
2010-01-15,25.82499885559082,2010-01-15,20.30025291442871,2010-01-15,44.14458084106445,2010-01-15,7.791266441345215,2010-02-12,25.791067123413086,2010-02-12,22.3255672454834,2010-02-12,24.643966674804688,2010-02-12,18.056901931762695,2011-02-09,47.44655227661133,2010-02-12,19.81342315673828,2010-02-12,96.24657440185547,2010-02-12,71.49955749511719,2012-07-02,18.188247680664062,2010-02-12,107.04000091552734,2010-02-12,87.49403381347656,2010-02-12,29.5,2010-02-12,22.898149490356445,2010-02-12,29.5535888671875,2010-02-12,31.19647979736328,2010-02-12,27.94158363342285,2010-02-12,87.940185546875
